@relation D14
@attribute att15 real
@attribute att16 real
@attribute class {14,15}
@data
2.91518,0.517368,14
2.58246,0.490265,14
2.53171,0.793567,14
2.78151,0.320149,14
2.01249,0.801455,14
2.36579,0.77592,14
2.98011,0.75219,14
2.9075,0.522264,14
2.52129,0.891662,14
2.76583,0.594853,15
2.26287,0.950532,14
2.24594,0.934823,14
2.15746,0.720665,14
2.91208,0.932411,14
2.45834,0.598068,14
2.96776,0.817667,14
2.1162,0.882188,14
2.87482,0.874974,14
2.96182,0.674779,14
2.90378,0.746975,14
2.53577,0.92085,14
2.74334,0.863848,14
2.09265,0.82472,14
2.4436,0.949745,14
2.10796,0.807375,14
2.96589,0.452286,14
2.85368,0.502377,14
2.58784,0.420523,14
2.605,0.875801,14
2.15554,0.937523,14
2.73357,0.448615,15
2.91259,0.454099,14
2.35291,0.706743,14
2.2909,0.955796,14
2.3932,0.690739,14
2.04156,0.749651,14
2.35664,0.895004,14
2.34486,0.871976,14
2.19527,0.790095,14
2.58403,0.686751,14
2.94489,0.64024,14
2.47745,0.88394,14
2.96089,0.467441,14
2.91989,0.861702,14
2.50512,0.591698,14
2.34413,0.932738,14
2.92473,0.994303,14
2.49441,0.760214,14
2.29814,0.908025,14
2.32365,0.357892,15
2.29857,0.14449,15
2.74703,0.0229279,15
2.56424,0.17051,15
2.20618,0.508155,14
2.1105,0.622908,15
2.99342,0.384103,15
2.75415,0.0626227,15
2.27908,0.0502746,15
2.74201,0.222261,15
2.82868,0.14634,15
2.98015,0.121799,15
2.97461,0.282019,15
2.08328,0.486841,15
2.66989,0.197499,15
2.27619,0.404023,14
2.00911,0.226754,15
2.59073,0.227571,15
2.60254,0.072881,15
2.86489,0.060367,15
2.44486,0.511855,15
2.22127,0.233672,15
2.33596,0.688041,15
2.17355,0.348639,15
2.85957,0.0225582,15
2.44702,0.318914,15
2.51341,0.266064,15
2.34873,0.690312,15
2.66726,0.0291661,15
2.57478,0.378712,15
2.36974,0.555641,15
2.76514,0.0983968,15
2.37383,0.515022,15
2.94102,0.0684509,15
2.55067,0.345709,15
2.72031,0.000176679,15
2.15417,0.368639,15
2.86538,0.126164,15
2.12478,0.519742,15
2.5605,0.355786,15
2.65534,0.149656,15
2.15569,0.32414,15
2.66923,0.100536,15
2.20707,0.0484139,15
2.97284,0.111141,15
2.14084,0.339996,15
2.41622,0.212551,15
2.33499,0.451877,14
2.41375,0.173123,15
2.57515,0.143516,15
2.14665,0.972769,14
2.54541,0.930956,14
2.2481,0.941562,14
2.76412,0.94991,14
2.16087,0.759985,14
2.10587,0.930522,14
2.41108,0.770403,14
2.55126,0.43359,14
2.70871,0.525395,15
2.71139,0.817834,14
2.65457,0.783905,14
2.53765,0.798699,14
2.86109,0.367749,14
2.68331,0.871404,14
2.82484,0.890503,14
2.88194,0.7666,14
2.76232,0.471292,15
2.3333,0.843395,14
2.05479,0.810489,14
2.03538,0.858719,14
2.35289,0.799794,14
2.60965,0.94332,14
2.93858,0.843572,14
2.10387,0.786593,14
2.95681,0.589925,14
2.00456,0.64125,14
2.19855,0.773031,14
2.38969,0.748094,14
2.946,0.477517,14
2.45167,0.721594,14
2.10295,0.93399,14
2.10323,0.652183,14
2.98179,0.50747,14
2.92112,0.697153,14
2.69646,0.326427,14
2.06045,0.630636,14
2.74932,0.968951,14
2.38519,0.801039,14
2.70888,0.78191,14
2.68629,0.437269,15
2.92404,0.434266,14
2.47416,0.651404,14
2.97118,0.821158,14
2.29188,0.939888,14
2.70316,0.769982,14
2.27697,0.880801,14
2.54308,0.695592,14
2.42233,0.807623,14
2.19624,0.957354,14
2.28991,0.973352,14
2.50606,0.029907,15
2.97153,0.361188,15
2.25399,0.490701,14
2.02236,0.499201,15
2.00929,0.137983,15
2.46258,0.00958179,15
2.70521,0.222327,15
2.21352,0.274995,15
2.18426,0.696564,15
2.59098,0.0254906,15
2.07055,0.2783,15
2.12615,0.0928038,15
2.76853,0.226043,15
2.84859,0.126985,15
2.06476,0.555778,15
2.4203,0.219866,15
2.45338,0.43856,15
2.77455,0.0766179,15
2.80388,0.0745162,15
2.10334,0.342512,15
2.71471,0.207784,15
2.53956,0.0922894,15
2.75176,0.155576,15
2.2943,0.518759,14
2.85429,0.0809352,15
2.97727,0.100821,15
2.69141,0.0326747,15
2.49439,0.128141,15
2.82463,0.271955,15
2.26108,0.466559,14
2.87258,0.099294,15
2.54982,0.169669,15
2.17849,0.281414,15
2.87799,0.0380077,15
2.57256,0.267959,15
2.85408,0.166387,15
2.96895,0.328152,15
2.05846,0.304638,15
2.41938,0.197847,15
2.01361,0.371497,15
2.56449,0.327314,15
2.83879,0.177637,15
2.58421,0.0598074,15
2.5688,0.302601,15
2.62559,0.166332,15
2.08738,0.50796,15
2.95798,0.105703,15
2.9553,0.119375,15
2.95601,0.397702,15
2.57568,0.110869,15
2.1859,0.907473,14
2.6474,0.674539,14
2.35502,0.751694,14
2.66557,0.313478,14
2.65116,0.748126,14
2.78855,0.314485,14
2.60201,0.794198,14
2.63532,0.697307,14
2.74314,0.587513,15
2.58965,0.486538,14
2.82556,0.579506,14
2.92368,0.41941,14
2.62255,0.397104,14
2.53533,0.460164,14
2.87591,0.657077,14
2.9952,0.731999,14
2.89961,0.896906,14
2.76455,0.476529,15
2.82426,0.685937,14
2.54704,0.734845,14
2.35737,0.968307,14
2.40629,0.914901,14
2.67545,0.592644,14
2.80521,0.585774,14
2.26543,0.981681,14
2.53208,0.893996,14
2.8928,0.463902,14
2.89174,0.732378,14
2.67778,0.689606,14
2.61111,0.519447,14
2.14121,0.781027,14
2.83958,0.96811,14
2.88595,0.800752,14
2.20413,0.790855,14
2.68899,0.747377,14
2.84648,0.353769,14
2.86127,0.593095,14
2.70539,0.575674,15
2.85329,0.823073,14
2.83108,0.390647,14
2.66165,0.659199,14
2.55378,0.58388,14
2.16621,0.891973,14
2.0787,0.722576,14
2.96051,0.997218,14
2.22735,0.921093,14
2.37757,0.99983,14
2.05797,0.839972,14
2.23369,0.978402,14
2.15367,0.79022,14
2.09231,0.295899,15
2.71531,0.084736,15
2.13443,0.529406,15
2.3861,0.599709,15
2.37501,0.281724,15
2.25698,0.370885,15
2.40445,0.503179,15
2.18563,0.484304,14
2.72128,0.186975,15
2.66404,0.145678,15
2.80448,0.019996,15
2.11874,0.662658,15
2.35634,0.164245,15
2.28572,0.536256,14
2.97032,0.10902,15
2.41577,0.589404,15
2.07609,0.48482,15
2.84821,0.0413367,15
2.17562,0.165042,15
2.44794,0.145008,15
2.57401,0.0248775,15
2.92566,0.0647371,15
2.96856,0.092521,15
2.84753,0.178724,15
2.51534,0.328861,15
2.4802,0.00387828,15
2.82949,0.23721,15
2.2336,0.61282,15
2.99835,0.16767,15
2.18253,0.405221,15
2.55026,0.119917,15
2.01041,0.159556,15
2.62483,0.32231,15
2.03449,0.143789,15
2.04955,0.0686323,15
2.63493,0.250559,15
2.38786,0.31131,15
2.56992,0.359271,15
