@relation D14
@attribute att15 real
@attribute att16 real
@attribute att17 real
@attribute att18 real
@attribute att19 real
@attribute att20 real
@attribute class {14,15}
@data
2.25286,0.950758,2.37871,0.514498,2.39728,0.328731,14
2.69305,0.919945,2.64919,0.478834,2.56376,0.684667,14
2.00581,0.727594,2.6325,0.317618,2.62265,0.740686,14
2.76412,0.94991,2.34299,0.598394,2.59197,0.342258,14
2.16087,0.759985,2.71417,0.611673,2.41165,0.424951,14
2.557,0.890169,2.70486,0.617948,2.33612,0.296614,14
2.60201,0.794198,2.8872,0.516445,2.72555,0.513334,14
2.46377,0.682499,2.63146,0.643992,2.68049,0.802806,14
2.70871,0.525395,2.52957,0.42584,2.66923,0.532958,15
2.97721,0.669933,2.53326,0.570946,2.46644,0.494971,14
2.82556,0.579506,2.3677,0.503328,2.70794,0.699094,14
2.01352,0.87306,2.64744,0.705735,2.5343,0.43219,14
2.86109,0.367749,2.67397,0.46677,2.77738,0.668029,14
2.11311,0.823198,2.52982,0.694244,2.34731,0.505149,14
2.91207,0.596136,2.31422,0.4899,2.61329,0.781611,14
2.96776,0.817667,2.37894,0.323805,2.47895,0.486545,14
2.89961,0.896906,2.47917,0.443858,2.47347,0.399065,14
2.76455,0.476529,2.47186,0.288299,2.61783,0.59935,15
2.01332,0.691167,2.87685,0.57783,2.49215,0.260722,14
2.73783,0.345671,2.41948,0.504061,2.36497,0.347135,14
2.05808,0.94615,2.21674,0.53338,2.39268,0.385677,14
2.63328,0.984595,2.43005,0.404706,2.41259,0.521701,14
2.93858,0.843572,2.52628,0.392273,2.44519,0.43146,14
2.09694,0.881215,2.50451,0.712169,2.32472,0.310047,14
2.05392,0.732372,2.48182,0.505251,2.47404,0.361609,14
2.53208,0.893996,2.15952,0.370285,2.42569,0.55766,14
2.68226,0.694643,2.81617,0.585477,2.37243,0.372597,14
2.61804,0.900125,2.3961,0.692116,2.35925,0.29224,14
2.28529,0.821579,2.40684,0.42582,2.80876,0.535415,14
2.45111,0.759376,2.3194,0.488515,2.51017,0.503454,14
2.10295,0.93399,2.45089,0.485323,2.62464,0.421747,14
2.10323,0.652183,2.43941,0.37758,2.41802,0.246368,14
2.98179,0.50747,2.39309,0.372167,2.62341,0.523613,14
2.0615,0.629856,2.27927,0.364512,2.50313,0.269404,14
2.69646,0.326427,2.56994,0.550389,2.48789,0.228671,14
2.49918,0.775475,2.42585,0.355933,2.7023,0.540916,14
2.83172,0.989503,2.45492,0.69213,2.59868,0.602391,14
2.5803,0.856799,2.51878,0.344796,2.18797,0.312172,14
2.19527,0.790095,2.70301,0.569804,2.56396,0.744426,14
2.62781,0.758552,2.44694,0.352716,2.58237,0.492295,14
2.47416,0.651404,2.40566,0.609192,2.6349,0.649812,14
2.66106,0.739078,2.50789,0.704537,2.53316,0.780683,14
2.2356,0.786322,2.31493,0.589183,2.62258,0.62583,14
2.91989,0.861702,2.32504,0.219737,2.49232,0.334448,14
2.22291,0.776928,2.44519,0.539505,2.74048,0.57857,14
2.34413,0.932738,2.38551,0.528651,2.61823,0.770192,14
2.05797,0.839972,2.44329,0.481945,2.64432,0.624653,14
2.28187,0.947863,2.74817,0.69129,2.58505,0.584819,14
2.29814,0.908025,2.72763,0.602911,2.74895,0.713042,14
2.26083,0.652484,2.73391,0.54613,2.54201,0.51878,15
2.9073,0.172537,2.54711,0.531725,2.6606,0.322524,15
2.74703,0.0229279,2.53554,0.512662,2.50366,0.67036,15
2.20618,0.508155,2.80482,0.64154,2.5457,0.714321,14
2.02236,0.499201,2.43518,0.509529,2.79811,0.847648,15
2.7039,0.250448,2.33791,0.405364,2.22969,0.363006,15
2.99342,0.384103,2.62708,0.588891,2.58859,0.760372,15
2.99855,0.15543,2.57694,0.628169,2.3402,0.366538,15
2.08457,0.433564,2.30139,0.588605,2.47959,0.379915,15
2.54407,0.0189814,2.30984,0.411423,2.61302,0.483056,15
2.83751,0.00509792,2.42082,0.432347,2.44286,0.668316,15
2.51621,0.245052,2.18979,0.530959,2.59798,0.637784,15
2.89701,0.0468036,2.59482,0.699331,2.52437,0.208169,15
2.77194,0.0509843,2.49802,0.40248,2.34032,0.632235,15
2.13047,0.268756,2.32452,0.495258,2.39776,0.351662,15
2.99056,0.41136,2.57429,0.721048,2.574,0.716195,15
2.4203,0.219866,2.37202,0.514767,2.41115,0.518798,15
2.45338,0.43856,2.57239,0.757267,2.4456,0.374154,15
2.83167,0.219885,2.43307,0.373364,2.71641,0.404681,15
2.47532,0.281149,2.42958,0.695527,2.3631,0.258998,15
2.24207,0.0404078,2.59524,0.669896,2.63062,0.532356,15
2.32926,0.467734,2.61093,0.536655,2.43044,0.387205,14
2.11129,0.0971123,2.54699,0.355019,2.30301,0.411841,15
2.76837,0.220336,2.39487,0.516147,2.43637,0.406273,15
2.34468,0.69577,2.23136,0.632006,2.64048,0.354331,15
2.51534,0.328861,2.30212,0.317313,2.44975,0.553235,15
2.32415,0.655325,2.63206,0.523487,2.77962,0.680194,15
2.34873,0.690312,2.54798,0.384696,2.45377,0.41311,15
2.49439,0.128141,2.65229,0.741954,2.4574,0.526424,15
2.32812,0.291268,2.56377,0.459088,2.47357,0.498679,15
2.26108,0.466559,2.27073,0.367882,2.62075,0.632753,14
2.90524,0.0650827,2.48603,0.325673,2.368,0.367909,15
2.14001,0.642543,2.56906,0.723112,2.57756,0.548786,15
2.91237,0.112087,2.5276,0.68033,2.65168,0.682895,15
2.70539,0.0524734,2.43465,0.556327,2.47795,0.179708,15
2.12792,0.580298,2.68146,0.693557,2.56573,0.476936,15
2.04955,0.0686323,2.6339,0.499135,2.7915,0.730478,15
2.20934,0.640879,2.66562,0.564561,2.51115,0.356232,15
2.02623,0.527377,2.56972,0.472544,2.4229,0.65486,15
2.11496,0.247682,2.54673,0.613937,2.75218,0.558073,15
2.27692,0.685931,2.62325,0.368863,2.66178,0.494725,15
2.02218,0.057413,2.60909,0.41095,2.49738,0.386605,15
2.86839,0.0417125,2.43614,0.297383,2.52721,0.316873,15
2.66923,0.100536,2.3537,0.272405,2.43149,0.493037,15
2.1715,0.0991505,2.5249,0.676263,2.55691,0.648679,15
2.97284,0.111141,2.43207,0.461323,2.41268,0.811466,15
2.92278,0.37199,2.19758,0.192858,2.77502,0.704988,15
